Date,Page,Traffic_Source,Sessions,Users,Bounce_Rate,Session_Duration,Pages_Per_Session,Conversions,Goal_Completions
2026-01-01,Home,Organic,520,430,42,185,3.2,38,45
2026-01-01,Product,Paid,410,350,48,160,2.8,31,36
2026-01-01,Blog,Referral,300,260,55,130,2.1,12,15
2026-01-01,Pricing,Organic,250,210,50,145,2.5,20,23
2026-01-01,Contact,Direct,180,150,38,200,3.5,25,28

2026-01-02,Home,Organic,610,500,40,190,3.4,45,52
2026-01-02,Product,Paid,430,360,47,165,2.9,35,40
2026-01-02,Blog,Organic,350,300,52,140,2.3,15,18
2026-01-02,Pricing,Referral,270,230,49,150,2.6,24,29
2026-01-02,Contact,Direct,200,170,36,210,3.7,29,34

2026-01-03,Home,Social,580,470,44,175,3.1,40,47
2026-01-03,Product,Organic,420,360,46,155,2.7,33,38
2026-01-03,Blog,Referral,310,270,56,135,2.0,13,16
2026-01-03,Pricing,Paid,260,220,51,140,2.4,22,25
2026-01-03,Contact,Direct,190,160,39,205,3.6,27,31

2026-01-04,Home,Organic,640,520,39,195,3.5,48,55
2026-01-04,Product,Paid,450,370,45,170,3.0,36,42
2026-01-04,Blog,Organic,370,310,53,145,2.2,16,19
2026-01-04,Pricing,Referral,280,240,48,155,2.7,26,30
2026-01-04,Contact,Direct,210,180,35,215,3.8,30,36

2026-01-05,Home,Social,600,490,43,180,3.2,42,50
2026-01-05,Product,Organic,440,380,47,160,2.8,34,39
2026-01-05,Blog,Referral,320,280,57,130,2.1,14,17
2026-01-05,Pricing,Paid,270,230,50,145,2.5,23,27
2026-01-05,Contact,Direct,200,170,37,210,3.6,28,33

2026-01-06,Home,Organic,650,530,38,200,3.6,50,58
2026-01-06,Product,Paid,460,390,44,175,3.1,38,44
2026-01-06,Blog,Organic,380,320,52,150,2.3,17,21
2026-01-06,Pricing,Referral,290,250,47,160,2.8,27,32
2026-01-06,Contact,Direct,220,190,34,220,3.9,32,38
